UserID,ItemID,Rating,Postcode
1,2,0,CF14 1LE
1,4,6,AB55 6UY
1,6,0,HU15 2XH
1,7,0,RH10 4UQ
1,8,4,SR8 4HA
1,9,6,EH48 1HF
1,11,4,M40 0EF
1,12,0,CM0 8FA
1,14,0,CM0 8FA
1,20,2,RH10 4UQ
1,33,0,RH10 4UQ
1,35,8,AB55 6UY
1,39,0,SR2 0QP
1,41,9,RH10 4UQ
1,42,1,HU15 2XH
1,44,0,AB55 6UY
1,47,4,AB55 6UY
1,50,9,M40 0EF
1,51,3,SR2 0QP
1,52,0,SM6 7ET
1,53,7,HU15 2XH
1,55,0,RH10 4UQ
1,57,4,CF14 1LE
1,58,3,HU15 2XH
1,59,0,RH10 4UQ
1,60,0,M40 0EF
1,62,5,SR8 4HA
1,67,0,SR8 4HA
1,68,3,SR2 0QP
1,69,0,M40 0EF
1,74,5,RH10 4UQ
1,75,0,CF14 1LE
1,76,0,SR8 4HA
1,78,0,SR8 4HA
1,79,0,SR2 0QP
1,81,7,AB55 6UY
1,86,8,HU15 2XH
1,87,9,CF14 1LE
1,90,0,SR8 4HA
1,95,1,SR2 0QP
1,96,3,SR2 0QP
1,99,2,SR8 4HA
1,100,9,SR2 0QP
1,101,1,M40 0EF
1,102,0,HU15 2XH
1,106,0,M40 0EF
1,111,8,SM6 7ET
1,112,0,RH10 4UQ
1,113,0,SM6 7ET
1,119,0,SM6 7ET
1,122,0,SM6 7ET
1,123,8,M40 0EF
1,125,7,HU15 2XH
1,126,4,HU15 2XH
1,128,0,HU15 2XH
1,129,8,SR8 4HA
1,131,0,SM6 7ET
1,133,3,CF14 1LE
1,134,3,EH48 1HF
1,135,0,CF14 1LE
1,137,3,HU15 2XH
1,138,0,SR8 4HA
1,140,4,M40 0EF
1,142,0,AB55 6UY
1,144,0,M40 0EF
1,148,0,CF14 1LE
1,153,5,CF14 1LE
1,155,8,SR2 0QP
1,158,0,SR2 0QP
1,161,4,CM0 8FA
1,164,2,CM0 8FA
1,167,0,CF14 1LE
1,168,0,SM6 7ET
1,169,0,M40 0EF
1,171,0,RH10 4UQ
1,173,0,HU15 2XH
1,174,7,AB55 6UY
1,179,0,SR8 4HA
1,180,0,CM0 8FA
1,181,0,CF14 1LE
1,182,4,CM0 8FA
1,184,9,M40 0EF
1,185,0,SR2 0QP
1,186,0,EH48 1HF
1,190,3,SR2 0QP
1,191,5,SM6 7ET
1,194,0,RH10 4UQ
1,195,0,RH10 4UQ
1,196,9,M40 0EF
1,197,0,CM0 8FA
1,198,0,CF14 1LE
1,199,8,RH10 4UQ
1,203,2,CF14 1LE
1,205,2,SM6 7ET
1,206,5,AB55 6UY
1,207,6,M40 0EF
1,208,0,AB55 6UY
1,210,0,SR2 0QP
1,211,8,AB55 6UY
1,212,9,RH10 4UQ
1,213,0,EH48 1HF
1,215,9,HU15 2XH
1,216,7,SR2 0QP
1,218,0,HU15 2XH
1,220,0,SM6 7ET
1,222,0,CM0 8FA
1,224,7,AB55 6UY
1,226,2,SR8 4HA
1,228,0,HU15 2XH
1,229,5,HU15 2XH
1,230,4,HU15 2XH
1,234,0,CM0 8FA
1,235,6,EH48 1HF
1,236,0,CM0 8FA
1,237,1,EH48 1HF
1,244,3,CF14 1LE
1,245,3,SM6 7ET
1,247,0,EH48 1HF
1,248,1,RH10 4UQ
1,252,0,HU15 2XH
1,253,0,AB55 6UY
1,254,0,SM6 7ET
1,255,6,SR2 0QP
1,257,5,CF14 1LE
1,260,8,SM6 7ET
1,263,0,CF14 1LE
1,264,5,M40 0EF
1,265,0,CF14 1LE
1,269,3,SR2 0QP
1,270,2,CM0 8FA
1,272,1,SR2 0QP
1,276,0,AB55 6UY
1,278,0,EH48 1HF
1,287,0,AB55 6UY
1,288,6,CF14 1LE
1,292,0,SR2 0QP
1,293,3,RH10 4UQ
1,294,0,CF14 1LE
1,299,0,M40 0EF
1,303,0,CF14 1LE
1,305,0,AB55 6UY
1,307,0,RH10 4UQ
1,308,7,CF14 1LE
1,310,7,SR2 0QP
1,315,0,RH10 4UQ
1,317,0,M40 0EF
1,320,0,M40 0EF
1,321,1,CM0 8FA
1,322,0,M40 0EF
1,331,1,CF14 1LE
1,332,1,SM6 7ET
1,333,9,CF14 1LE
1,334,0,SM6 7ET
1,335,3,CM0 8FA
1,337,0,CM0 8FA
1,338,1,M40 0EF
1,339,0,CF14 1LE
1,340,0,RH10 4UQ
1,345,0,AB55 6UY
1,346,0,M40 0EF
1,348,0,AB55 6UY
1,349,0,EH48 1HF
1,351,0,AB55 6UY
1,352,0,M40 0EF
1,353,3,HU15 2XH
1,355,0,M40 0EF
1,362,7,SR2 0QP
1,363,0,RH10 4UQ
1,365,6,CF14 1LE
1,367,0,SM6 7ET
1,368,0,RH10 4UQ
1,369,4,SM6 7ET
1,370,9,HU15 2XH
1,371,5,SR8 4HA
1,373,0,SM6 7ET
1,374,0,SR8 4HA
1,375,0,CF14 1LE
1,379,0,SR2 0QP
1,383,0,EH48 1HF
1,393,0,SR8 4HA
1,399,4,SR8 4HA
1,403,0,HU15 2XH
1,405,9,AB55 6UY
1,409,0,M40 0EF
1,412,5,SR2 0QP
1,414,0,HU15 2XH
1,415,7,RH10 4UQ
1,416,7,RH10 4UQ
1,420,1,HU15 2XH
1,423,5,M40 0EF
1,425,0,RH10 4UQ
1,426,0,RH10 4UQ
1,427,7,SR2 0QP
1,429,0,SM6 7ET
1,430,3,HU15 2XH
1,431,0,CF14 1LE
1,434,0,EH48 1HF
1,437,0,HU15 2XH
1,440,0,EH48 1HF
1,441,0,CF14 1LE
1,443,9,CF14 1LE
1,444,0,SR8 4HA
1,445,3,AB55 6UY
1,446,0,AB55 6UY
1,447,0,SR2 0QP
1,449,6,SR8 4HA
1,450,0,SR2 0QP
1,451,4,EH48 1HF
1,454,3,HU15 2XH
1,455,0,M40 0EF
1,456,2,SR2 0QP
1,463,6,SR2 0QP
1,466,4,EH48 1HF
1,468,0,EH48 1HF
1,471,0,SR2 0QP
1,475,0,AB55 6UY
1,478,5,SR2 0QP
1,479,0,CM0 8FA
1,481,0,SR8 4HA
1,482,0,SR2 0QP
1,483,0,M40 0EF
1,484,0,CF14 1LE
1,486,6,SM6 7ET
1,487,0,AB55 6UY
1,489,0,SR8 4HA
1,493,0,SR8 4HA
1,494,0,CM0 8FA
1,495,0,SM6 7ET
1,496,0,SM6 7ET
1,497,4,SR2 0QP
1,498,8,EH48 1HF
1,499,0,EH48 1HF
2,5,8,SR8 4HA
2,6,2,HU15 2XH
2,8,5,SR8 4HA
2,9,4,EH48 1HF
2,11,0,M40 0EF
2,12,0,CM0 8FA
2,14,0,CM0 8FA
2,16,9,SR2 0QP
2,19,9,SR2 0QP
2,20,1,RH10 4UQ
2,21,4,SM6 7ET
2,22,2,SM6 7ET
2,27,0,M40 0EF
2,28,0,RH10 4UQ
2,29,0,AB55 6UY
2,30,8,CM0 8FA
2,32,1,AB55 6UY
2,33,0,RH10 4UQ
2,35,0,AB55 6UY
2,36,8,CF14 1LE
2,37,0,SM6 7ET
2,39,7,SR2 0QP
2,40,0,SR2 0QP
2,43,7,EH48 1HF
2,44,7,AB55 6UY
